"","ss.treatment","ss.replicate","ss.genotype","ss.replicate_n_treatment","ss.treatment_i_genotype","residualss"
"1",281.915995763615,151567.78616114,2612129.83578199,72761.5311018955,2754069.37056872,6501311.67260663
"2",1914.64209626056,338553.146540286,3772834.48336494,142524.221907584,3013168.02936018,7816573.96597155
"3",19.5310759637505,383951.281990522,4768678.96554503,40356.908104266,3213059.16864928,8035092.61943127
"4",12207.6538325995,405331.227393374,15194426.5206161,396520.282511853,11222163.6569431,29484805.221801
"5",16377.919064872,214497.864478678,5188317.61810424,179548.059253557,4150935.42409952,11293133.0009479
"6",2274.28793011606,16063.3482464477,66414593.395924,697561.251184843,14411017.7074882,48133802.580474
"7",47439.6796342731,10256723.3602132,358185454.650427,6189925.60247636,218040908.038246,492927308.262845
"8",198821.174752951,1601501.44606638,1234881256.28891,17953872.4701896,663348101.551162,1849521027.32445
"9",26678.2357831001,2841645.89291477,2248438500.40474,7755741.18597174,1619424431.0314,4196559498.92284
"10",703.708112813532,256017.520473942,49788781.3785307,125721.019917063,25574977.5738626,63612745.0516114
"11",28448.7629349828,32403.9440995157,151012859.115924,409112.232227504,74413244.5835783,192591680.04564
"12",146865.890628695,632110.322867274,377643606.836493,1307269.99081755,187879125.790806,485865960.974218
"13",2264.17501615128,1087.69253554498,687271.973127961,649.165924170753,486026.632369668,1221524.12454976
"14",491.583977689967,5964.41291469196,1693646.82507109,4511.80327014206,1041851.29926541,2643785.67099526
"15",19276.5089131296,100908.661990521,12719103.7364929,3017.27208530903,4681324.14855451,13043145.1911375
"16",426.371184833348,9333.26341232285,2128359.72763033,541.761184833944,1459874.61011848,3486889.08511848
"17",1879.8582000006,18.4342180094682,2561595.20815165,2873.07090047374,1638159.47464455,4123179.22540285
"18",3569.05137462914,40528.8800000008,8691941.54701424,29714.5289218016,4288465.19111375,10852899.6371564
"19",613.953418191522,95127.0824881541,6004169.03303318,19798.7071563983,2862981.40824645,7366794.89729857
"20",647.74823666364,52649.3482464459,8877925.52563981,13805.666172985,4687647.90184835,11877368.3610427
"21",7115.06196955591,1252.78296208382,20733356.5767773,103050.090047393,11046493.5652607,28884696.7631754
"22",321.368869042271,1.25355450237112,27336.0439810426,48.7777369668329,32531.7193364928,68093.7153554502
"23",0.998115219529609,25.1886492890999,1451.80213270142,4.83792654028412,1670.54187203792,2703.66502369668
"24",5.09716198693786,243.109218009486,18962.0638862558,55.5358412322312,21022.6060189573,37842.7439336493
"25",373.779866762459,1850.95364928991,8915530.61914691,100007.679253554,3895963.5699289,9962006.53928912
"26",4.84522942267358,59125.6493127979,6186290.33563982,196365.108637441,4035104.48080568,9936837.14075828
